,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,PBKS,1359492,1,GT,1_1,8,1,-1,8,1,0.39166144,1,-1,0.39166144,0.6083386
1,PBKS,1359492,1,GT,1_2,16,1,-1,8,0,0.45363277,0,-1,0.45363277,0.5463672
2,PBKS,1359492,1,GT,1_3,27,1,-1,11,0,0.4823133,0,-1,0.4823133,0.5176867
3,PBKS,1359492,1,GT,1_4,30,2,-1,3,1,0.36090845,1,-1,0.36090845,0.63909155
4,PBKS,1359492,1,GT,1_5,42,2,-1,12,0,0.48712736,0,-1,0.48712736,0.51287264
5,PBKS,1359492,1,GT,1_6,52,2,-1,10,0,0.5003286,0,-1,0.5003286,0.4996714
6,PBKS,1359492,1,GT,1_7,59,3,-1,7,1,0.47092637,1,-1,0.47092637,0.5290736
7,PBKS,1359492,1,GT,1_8,63,3,-1,4,0,0.441129,0,-1,0.441129,0.55887103
8,PBKS,1359492,1,GT,1_9,71,3,-1,8,0,0.47487456,0,-1,0.47487456,0.52512544
9,PBKS,1359492,1,GT,1_10,75,3,-1,4,0,0.42133144,0,-1,0.42133144,0.5786686
10,PBKS,1359492,1,GT,1_11,81,3,-1,6,0,0.44543916,0,-1,0.44543916,0.55456084
11,PBKS,1359492,1,GT,1_12,91,3,-1,10,0,0.49369326,0,-1,0.49369326,0.50630677
12,PBKS,1359492,1,GT,1_13,94,4,-1,3,1,0.38066998,1,-1,0.38066998,0.61933005
13,PBKS,1359492,1,GT,1_14,96,4,-1,2,0,0.36050218,0,-1,0.36050218,0.6394978
14,PBKS,1359492,1,GT,1_15,99,4,-1,3,0,0.36550465,0,-1,0.36550465,0.6344954
15,PBKS,1359492,1,GT,1_16,109,4,-1,10,0,0.38150343,0,-1,0.38150343,0.61849654
16,PBKS,1359492,1,GT,1_17,121,5,-1,12,1,0.3666926,1,-1,0.3666926,0.6333074
