,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,RCB,1359528,1,MI,1_1,3,1,-1,3,1,0.4008387,3.0,1,-1.0,0.4008387,0.59916127
1,RCB,1359528,1,MI,1_2,12,1,-1,9,0,0.4305417,6.0,0,-1.0,0.4305417,0.5694583
2,RCB,1359528,1,MI,1_3,20,2,-1,8,1,0.4063892,6.666666666666667,1,-1.0,0.4063892,0.59361076
3,RCB,1359528,1,MI,1_4,29,2,-1,9,0,0.40448496,7.25,0,-1.0,0.40448496,0.595515
4,RCB,1359528,1,MI,1_5,45,2,-1,16,0,0.5082871,9.0,0,-1.0,0.5082871,0.49171293
5,RCB,1359528,1,MI,1_6,56,2,-1,11,0,0.53762543,9.333333333333334,0,-1.0,0.53762543,0.46237457
6,RCB,1359528,1,MI,1_7,72,2,-1,16,0,0.56163037,10.285714285714286,0,-1.0,0.56163037,0.43836963
7,RCB,1359528,1,MI,1_8,81,2,-1,9,0,0.6021453,10.125,0,-1.0,0.6021453,0.3978547
8,RCB,1359528,1,MI,1_9,87,2,-1,6,0,0.5934054,9.666666666666666,0,-1.0,0.5934054,0.40659457
9,RCB,1359528,1,MI,1_10,104,2,-1,17,0,0.68541443,10.4,0,-1.0,0.68541443,0.31458557
10,RCB,1359528,1,MI,1_11,119,2,-1,15,0,0.8256842,10.818181818181818,0,-1.0,0.8256842,0.17431581
11,RCB,1359528,1,MI,1_12,131,2,-1,12,0,0.84679717,10.916666666666666,0,-1.0,0.84679717,0.15320283
12,RCB,1359528,1,MI,1_13,140,3,-1,9,1,0.8480297,10.76923076923077,1,-1.0,0.8480297,0.15197033
13,RCB,1359528,1,MI,1_14,146,4,-1,6,1,0.7416567,10.428571428571429,1,-1.0,0.7416567,0.25834328
14,RCB,1359528,1,MI,1_15,152,5,-1,6,1,0.710971,10.133333333333333,1,-1.0,0.710971,0.289029
15,RCB,1359528,1,MI,1_16,161,5,-1,9,0,0.7102266,10.0625,0,-1.0,0.7102266,0.2897734
16,RCB,1359528,1,MI,1_17,170,5,-1,9,0,0.686047,10.0,0,-1.0,0.686047,0.31395298
17,RCB,1359528,1,MI,1_18,185,5,-1,15,0,0.7974121,10.27777777777778,0,-1.0,0.7974121,0.2025879
18,RCB,1359528,1,MI,1_19,193,6,-1,8,1,0.68838507,10.157894736842104,1,-1.0,0.68838507,0.31161493
19,RCB,1359528,0,MI,1_20,199,6,200,6,0,0.43650734,9.95,0,99.0,0.43650734,0.56349266
20,RCB,1359528,0,MI,2_1,4,0,200,4,0,0.82791674,4.0,0,10.31578947368421,0.82791674,0.17208326
21,RCB,1359528,0,MI,2_2,19,0,200,15,0,0.51265365,9.5,0,10.055555555555555,0.51265365,0.48734635
22,RCB,1359528,0,MI,2_3,34,0,200,15,0,0.3987141,11.333333333333334,0,9.764705882352942,0.3987141,0.60128593
23,RCB,1359528,0,MI,2_4,41,0,200,7,0,0.41086897,10.25,0,9.9375,0.41086897,0.589131
24,RCB,1359528,0,MI,2_5,52,2,200,11,2,0.6066333,10.4,2,9.866666666666667,0.6066333,0.3933667
25,RCB,1359528,0,MI,2_6,62,2,200,10,0,0.5399653,10.333333333333334,0,9.857142857142858,0.5399653,0.46003473
26,RCB,1359528,0,MI,2_7,74,2,200,12,0,0.51715213,10.571428571428571,0,9.692307692307692,0.51715213,0.48284787
27,RCB,1359528,0,MI,2_8,82,2,200,8,0,0.5287336,10.25,0,9.833333333333334,0.5287336,0.4712664
28,RCB,1359528,0,MI,2_9,89,2,200,7,0,0.55136156,9.88888888888889,0,10.090909090909092,0.55136156,0.44863844
29,RCB,1359528,0,MI,2_10,99,2,200,10,0,0.518548,9.9,0,10.1,0.518548,0.481452
30,RCB,1359528,0,MI,2_11,114,2,200,15,0,0.29426506,10.363636363636363,0,9.555555555555555,0.29426506,0.70573497
31,RCB,1359528,0,MI,2_12,124,2,200,10,0,0.171622,10.333333333333334,0,9.5,0.171622,0.828378
32,RCB,1359528,0,MI,2_13,141,2,200,17,0,0.11016716,10.846153846153848,0,8.428571428571429,0.11016716,0.88983285
