inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,1,0,0,1,-1,-1,1.0,-1.0,-1.0,1,0,LSG,KKR
1,2,6,0,0,7,-1,-1,3.5,-1.0,-1.0,1,0,LSG,KKR
1,3,8,1,1,15,-1,-1,5.0,-1.0,-1.0,1,0,LSG,KKR
1,4,12,0,1,27,-1,-1,6.75,-1.0,-1.0,1,0,LSG,KKR
1,5,12,0,1,39,-1,-1,7.8,-1.0,-1.0,1,0,LSG,KKR
1,6,15,0,1,54,-1,-1,9.0,-1.0,-1.0,1,0,LSG,KKR
1,7,1,2,3,55,-1,-1,7.857142857142857,-1.0,-1.0,1,0,LSG,KKR
1,8,3,0,3,58,-1,-1,7.25,-1.0,-1.0,1,0,LSG,KKR
1,9,11,0,3,69,-1,-1,7.666666666666667,-1.0,-1.0,1,0,LSG,KKR
1,10,4,1,4,73,-1,-1,7.3,-1.0,-1.0,1,0,LSG,KKR
1,11,15,1,5,88,-1,-1,8.0,-1.0,-1.0,1,0,LSG,KKR
1,12,3,0,5,91,-1,-1,7.583333333333333,-1.0,-1.0,1,0,LSG,KKR
1,13,9,0,5,100,-1,-1,7.6923076923076925,-1.0,-1.0,1,0,LSG,KKR
1,14,7,0,5,107,-1,-1,7.642857142857143,-1.0,-1.0,1,0,LSG,KKR
1,15,12,0,5,119,-1,-1,7.933333333333334,-1.0,-1.0,1,0,LSG,KKR
1,16,3,0,5,122,-1,-1,7.625,-1.0,-1.0,1,0,LSG,KKR
1,17,11,0,5,133,-1,-1,7.823529411764706,-1.0,-1.0,1,0,LSG,KKR
1,18,14,1,6,147,-1,-1,8.166666666666666,-1.0,-1.0,1,0,LSG,KKR
1,19,16,2,8,163,177,14,8.578947368421053,14.0,-5.421052631578947,0,0,LSG,KKR
1,20,13,0,8,176,177,1,8.8,99.0,-90.2,0,0,LSG,KKR
2,1,15,0,0,15,177,162,15.0,8.526315789473685,6.473684210526315,0,0,LSG,KKR
2,2,15,0,0,30,177,147,15.0,8.166666666666666,6.833333333333334,0,0,LSG,KKR
2,3,6,0,0,36,177,141,12.0,8.294117647058824,3.705882352941176,0,0,LSG,KKR
2,4,9,0,0,45,177,132,11.25,8.25,3.0,0,0,LSG,KKR
2,5,14,0,0,59,177,118,11.8,7.866666666666666,3.9333333333333353,0,0,LSG,KKR
2,6,2,1,1,61,177,116,10.166666666666666,8.285714285714286,1.88095238095238,0,0,LSG,KKR
2,7,8,0,1,69,177,108,9.857142857142858,8.307692307692308,1.5494505494505493,0,0,LSG,KKR
2,8,9,0,1,78,177,99,9.75,8.25,1.5,0,0,LSG,KKR
2,9,1,1,2,79,177,98,8.777777777777779,8.909090909090908,-0.1313131313131297,0,0,LSG,KKR
2,10,3,1,3,82,177,95,8.2,9.5,-1.3000000000000007,0,0,LSG,KKR
2,11,6,0,3,88,177,89,8.0,9.88888888888889,-1.8888888888888893,0,0,LSG,KKR
2,12,6,0,3,94,177,83,7.833333333333333,10.375,-2.541666666666667,0,0,LSG,KKR
2,13,9,0,3,103,177,74,7.923076923076923,10.571428571428571,-2.648351648351648,0,0,LSG,KKR
2,14,5,1,4,108,177,69,7.714285714285714,11.5,-3.7857142857142856,0,0,LSG,KKR
2,15,6,0,4,114,177,63,7.6,12.6,-5.0,0,0,LSG,KKR
