innings_score,innings_wickets,current_innings,total_runs,player_dismised,overs,team1,team2,batting_team,toss_decision,toss_winner,score_target,run_rate,remaining_target,required_run_rate,run_rate_diff
24,0,1,7,0,3,GT,KKR,GT,bat,GT,-1,8.0,-1,-1,-1
17,0,1,13,0,2,GT,KKR,GT,bat,GT,-1,8.5,-1,-1,-1
4,0,1,4,0,1,GT,KKR,GT,bat,GT,-1,4.0,-1,-1,-1
24,0,1,7,0,3,GT,KKR,GT,bat,GT,-1,8.0,-1,-1,-1
17,0,1,13,0,2,GT,KKR,GT,bat,GT,-1,8.5,-1,-1,-1
4,0,1,4,0,1,GT,KKR,GT,bat,GT,-1,4.0,-1,-1,-1
31,0,1,7,0,4,GT,KKR,GT,bat,GT,-1,7.75,-1,-1,-1
24,0,1,7,0,3,GT,KKR,GT,bat,GT,-1,8.0,-1,-1,-1
17,0,1,13,0,2,GT,KKR,GT,bat,GT,-1,8.5,-1,-1,-1
4,0,1,4,0,1,GT,KKR,GT,bat,GT,-1,4.0,-1,-1,-1
207,7,2,31,0,20,GT,KKR,KKR,bowl,GT,205,10.35,-2,99.0,-88.65
176,7,2,14,0,19,GT,KKR,KKR,bowl,GT,205,9.263157894736842,29,29.0,-19.736842105263158
162,7,2,5,0,18,GT,KKR,KKR,bowl,GT,205,9.0,43,21.5,-12.5
157,7,2,2,3,17,GT,KKR,KKR,bowl,GT,205,9.235294117647058,48,16.0,-6.764705882352942
